tissue1,tissue2,IGH,IGK,IGL,TRA,TRB,TRD,TRG
Brain - Substantia nigra,Brain - Caudate (basal ganglia),1.0,1.0,1.0,1.0,1.0,1.0,1.0
Brain - Substantia nigra,Brain - Cerebellar Hemisphere,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Brain - Substantia nigra,Brain - Cerebellum,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Brain - Substantia nigra,Brain - Cortex,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Brain - Substantia nigra,Brain - Frontal Cortex (BA9),1.0,1.0,1.0,1.0,1.0,1.0,1.0
Brain - Substantia nigra,Brain - Hippocampus,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Brain - Substantia nigra,Brain - Hypothalamus,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Brain - Substantia nigra,Brain - Nucleus accumbens (basal ganglia),1.0,1.0,1.0,1.0,1.0,1.0,1.0
Brain - Substantia nigra,Brain - Putamen (basal ganglia),1.0,1.0,1.0,1.0,1.0,1.0,1.0
Brain - Substantia nigra,Brain - Spinal cord (cervical c-1),1.0,1.0,1.0,1.0,1.0,1.0,1.0
Breast - Mammary Tissue,Adipose - Subcutaneous,1.0,0.992509363296,1.0,1.0,1.0,1.0,1.0
Breast - Mammary Tissue,Adipose - Visceral (Omentum),1.0,0.97578996554,0.996464078375,1.0,1.0,1.0,1.0
Breast - Mammary Tissue,Adrenal Gland,1.0,0.999442431001,1.0,1.0,1.0,1.0,1.0
Breast - Mammary Tissue,Artery - Aorta,1.0,0.990036238627,0.99911531915,1.0,1.0,1.0,1.0
Breast - Mammary Tissue,Artery - Coronary,1.0,0.978474487924,0.99278192515,1.0,1.0,1.0,1.0
Breast - Mammary Tissue,Artery - Tibial,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Breast - Mammary Tissue,Brain - Caudate (basal ganglia),1.0,1.0,1.0,1.0,1.0,1.0,1.0
Breast - Mammary Tissue,Brain - Cerebellar Hemisphere,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Breast - Mammary Tissue,Brain - Cerebellum,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Breast - Mammary Tissue,Brain - Cortex,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Breast - Mammary Tissue,Brain - Frontal Cortex (BA9),1.0,1.0,1.0,1.0,1.0,1.0,1.0
Breast - Mammary Tissue,Brain - Hippocampus,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Breast - Mammary Tissue,Brain - Nucleus accumbens (basal ganglia),1.0,1.0,1.0,1.0,1.0,1.0,1.0
Breast - Mammary Tissue,Brain - Substantia nigra,1.0,0.999619265182,1.0,1.0,1.0,1.0,1.0
Cells - EBV-transformed lymphocytes,Adipose - Subcutaneous,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Cells - EBV-transformed lymphocytes,Adipose - Visceral (Omentum),1.0,0.984126984127,1.0,1.0,1.0,1.0,1.0
Cells - EBV-transformed lymphocytes,Adrenal Gland,1.0,0.983333333333,1.0,1.0,1.0,1.0,1.0
Cells - EBV-transformed lymphocytes,Artery - Aorta,1.0,0.980390272037,1.0,1.0,1.0,1.0,1.0
Cells - EBV-transformed lymphocytes,Artery - Coronary,1.0,0.984810126582,1.0,1.0,1.0,1.0,1.0
Cells - EBV-transformed lymphocytes,Artery - Tibial,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Cells - EBV-transformed lymphocytes,Breast - Mammary Tissue,1.0,0.99261145124,1.0,1.0,1.0,1.0,1.0
Cells - Transformed fibroblasts,Adipose - Subcutaneous,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Cells - Transformed fibroblasts,Adipose - Visceral (Omentum),1.0,1.0,1.0,1.0,1.0,1.0,1.0
Cells - Transformed fibroblasts,Adrenal Gland,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Cells - Transformed fibroblasts,Artery - Aorta,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Cells - Transformed fibroblasts,Artery - Coronary,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Cells - Transformed fibroblasts,Artery - Tibial,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Cells - Transformed fibroblasts,Brain - Amygdala,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Cells - Transformed fibroblasts,Brain - Anterior cingulate cortex (BA24),1.0,1.0,1.0,1.0,1.0,1.0,1.0
Cells - Transformed fibroblasts,Brain - Caudate (basal ganglia),1.0,1.0,1.0,1.0,1.0,1.0,1.0
Cells - Transformed fibroblasts,Brain - Cerebellar Hemisphere,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Cells - Transformed fibroblasts,Brain - Cerebellum,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Cells - Transformed fibroblasts,Brain - Cortex,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Cells - Transformed fibroblasts,Brain - Frontal Cortex (BA9),1.0,1.0,1.0,1.0,1.0,1.0,1.0
Cells - Transformed fibroblasts,Brain - Hippocampus,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Cells - Transformed fibroblasts,Brain - Hypothalamus,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Cells - Transformed fibroblasts,Brain - Nucleus accumbens (basal ganglia),1.0,1.0,1.0,1.0,1.0,1.0,1.0
Cells - Transformed fibroblasts,Brain - Putamen (basal ganglia),1.0,1.0,1.0,1.0,1.0,1.0,1.0
Cells - Transformed fibroblasts,Brain - Spinal cord (cervical c-1),1.0,1.0,1.0,1.0,1.0,1.0,1.0
Cells - Transformed fibroblasts,Brain - Substantia nigra,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Cells - Transformed fibroblasts,Breast - Mammary Tissue,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Cells - Transformed fibroblasts,Cells - EBV-transformed lymphocytes,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Colon - Sigmoid,Adipose - Subcutaneous,1.0,0.998134328358,1.0,1.0,1.0,1.0,1.0
Colon - Sigmoid,Adipose - Visceral (Omentum),1.0,0.991166151285,1.0,1.0,1.0,1.0,1.0
Colon - Sigmoid,Adrenal Gland,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Colon - Sigmoid,Artery - Aorta,1.0,0.989028213166,1.0,1.0,1.0,1.0,1.0
Colon - Sigmoid,Artery - Coronary,1.0,0.992261242123,1.0,1.0,1.0,1.0,1.0
Colon - Sigmoid,Artery - Tibial,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Colon - Sigmoid,Breast - Mammary Tissue,1.0,0.995742030059,0.999377334994,1.0,1.0,1.0,1.0
Colon - Sigmoid,Cells - EBV-transformed lymphocytes,1.0,0.991218466337,1.0,1.0,1.0,1.0,1.0
Colon - Sigmoid,Cells - Transformed fibroblasts,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Colon - Transverse,Adipose - Subcutaneous,1.0,0.996418746914,0.998806901224,1.0,1.0,1.0,1.0
Colon - Transverse,Adipose - Visceral (Omentum),0.999520038397,0.991557619249,0.995884773663,1.0,1.0,1.0,1.0
Colon - Transverse,Adrenal Gland,1.0,0.995542734839,0.99829611093,1.0,1.0,1.0,1.0
Colon - Transverse,Artery - Aorta,0.999880067162,0.991959794591,0.995807860134,1.0,1.0,1.0,1.0
Colon - Transverse,Artery - Coronary,0.999812839229,0.988757464771,0.996112390673,1.0,1.0,1.0,1.0
Colon - Transverse,Artery - Tibial,1.0,0.998586905323,1.0,1.0,1.0,1.0,1.0
Colon - Transverse,Breast - Mammary Tissue,1.0,0.99036382275,0.995156976957,1.0,1.0,1.0,1.0
Colon - Transverse,Cells - EBV-transformed lymphocytes,1.0,0.990082735372,0.995514343382,1.0,1.0,1.0,1.0
Colon - Transverse,Cells - Transformed fibroblasts,1.0,0.999016232169,1.0,1.0,1.0,1.0,1.0
Colon - Transverse,Colon - Sigmoid,1.0,0.995055983714,0.996528531135,1.0,1.0,1.0,1.0
Esophagus - Gastroesophageal Junction,Adipose - Subcutaneous,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Esophagus - Gastroesophageal Junction,Adipose - Visceral (Omentum),1.0,0.986885245902,1.0,1.0,1.0,1.0,1.0
Esophagus - Gastroesophageal Junction,Adrenal Gland,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Esophagus - Gastroesophageal Junction,Artery - Aorta,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Esophagus - Gastroesophageal Junction,Artery - Coronary,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Esophagus - Gastroesophageal Junction,Artery - Tibial,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Esophagus - Gastroesophageal Junction,Brain - Cortex,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Esophagus - Gastroesophageal Junction,Breast - Mammary Tissue,1.0,0.998259355962,1.0,1.0,1.0,1.0,1.0
Esophagus - Gastroesophageal Junction,Cells - EBV-transformed lymphocytes,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Esophagus - Gastroesophageal Junction,Cells - Transformed fibroblasts,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Esophagus - Gastroesophageal Junction,Colon - Sigmoid,1.0,0.996198446164,1.0,1.0,1.0,1.0,1.0
Esophagus - Gastroesophageal Junction,Colon - Transverse,1.0,0.997912861988,0.998913633895,1.0,1.0,1.0,1.0
Esophagus - Mucosa,Adipose - Subcutaneous,1.0,0.991031390135,1.0,1.0,1.0,1.0,1.0
Esophagus - Mucosa,Adipose - Visceral (Omentum),1.0,0.97813581573,0.990943950395,1.0,1.0,1.0,1.0
Esophagus - Mucosa,Adrenal Gland,1.0,0.986653956149,0.996428571429,1.0,1.0,1.0,1.0
Esophagus - Mucosa,Artery - Aorta,1.0,0.984126984127,0.993854033291,1.0,1.0,1.0,1.0
Esophagus - Mucosa,Artery - Coronary,1.0,0.970425138632,0.99012345679,1.0,1.0,1.0,1.0
Esophagus - Mucosa,Artery - Tibial,1.0,0.997063142438,1.0,1.0,1.0,1.0,1.0
Esophagus - Mucosa,Brain - Amygdala,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Esophagus - Mucosa,Brain - Anterior cingulate cortex (BA24),1.0,1.0,1.0,1.0,1.0,1.0,1.0
Esophagus - Mucosa,Brain - Caudate (basal ganglia),1.0,1.0,1.0,1.0,1.0,1.0,1.0
Esophagus - Mucosa,Brain - Cerebellar Hemisphere,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Esophagus - Mucosa,Brain - Cerebellum,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Esophagus - Mucosa,Brain - Cortex,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Esophagus - Mucosa,Brain - Frontal Cortex (BA9),1.0,1.0,1.0,1.0,1.0,1.0,1.0
Esophagus - Mucosa,Brain - Hippocampus,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Esophagus - Mucosa,Brain - Hypothalamus,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Esophagus - Mucosa,Brain - Nucleus accumbens (basal ganglia),1.0,1.0,1.0,1.0,1.0,1.0,1.0
Esophagus - Mucosa,Brain - Putamen (basal ganglia),1.0,1.0,1.0,1.0,1.0,1.0,1.0
Esophagus - Mucosa,Brain - Spinal cord (cervical c-1),1.0,1.0,1.0,1.0,1.0,1.0,1.0
Esophagus - Mucosa,Brain - Substantia nigra,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Esophagus - Mucosa,Breast - Mammary Tissue,1.0,0.982642237223,0.991304347826,1.0,1.0,1.0,1.0
Esophagus - Mucosa,Cells - EBV-transformed lymphocytes,1.0,0.979211121015,0.990528090886,1.0,1.0,1.0,1.0
Esophagus - Mucosa,Cells - Transformed fibroblasts,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Esophagus - Mucosa,Colon - Sigmoid,1.0,0.982905982906,0.993865030675,1.0,1.0,1.0,1.0
Esophagus - Mucosa,Colon - Transverse,0.995281301664,0.939051576417,0.970830706534,1.0,1.0,1.0,1.0
Esophagus - Mucosa,Esophagus - Gastroesophageal Junction,1.0,0.992322456814,0.997287708187,1.0,1.0,1.0,1.0
Esophagus - Muscularis,Adipose - Subcutaneous,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Esophagus - Muscularis,Adipose - Visceral (Omentum),1.0,1.0,1.0,1.0,1.0,1.0,1.0
Esophagus - Muscularis,Adrenal Gland,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Esophagus - Muscularis,Artery - Aorta,1.0,0.990697674419,1.0,1.0,1.0,1.0,1.0
Esophagus - Muscularis,Artery - Coronary,1.0,0.991620111732,1.0,1.0,1.0,1.0,1.0
Esophagus - Muscularis,Artery - Tibial,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Esophagus - Muscularis,Brain - Cerebellar Hemisphere,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Esophagus - Muscularis,Brain - Cerebellum,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Esophagus - Muscularis,Brain - Cortex,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Esophagus - Muscularis,Brain - Hippocampus,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Esophagus - Muscularis,Brain - Nucleus accumbens (basal ganglia),1.0,1.0,1.0,1.0,1.0,1.0,1.0
Esophagus - Muscularis,Brain - Putamen (basal ganglia),1.0,1.0,1.0,1.0,1.0,1.0,1.0
Esophagus - Muscularis,Breast - Mammary Tissue,1.0,0.998331595412,1.0,1.0,1.0,1.0,1.0
