tissue1,tissue2,IGH,IGK,IGL,TRA,TRB,TRD,TRG
Adipose - Visceral (Omentum),Adipose - Subcutaneous,1.0,0.982456140351,1.0,1.0,1.0,1.0,1.0
Adrenal Gland,Adipose - Subcutaneous,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Adrenal Gland,Adipose - Visceral (Omentum),1.0,0.981227026081,1.0,1.0,1.0,1.0,1.0
Artery - Aorta,Adipose - Subcutaneous,1.0,0.987279922468,1.0,1.0,1.0,1.0,1.0
Artery - Aorta,Adipose - Visceral (Omentum),1.0,0.966101694915,0.987179487179,1.0,1.0,1.0,1.0
Artery - Aorta,Adrenal Gland,1.0,0.977870798757,0.992831541219,1.0,1.0,1.0,1.0
Artery - Coronary,Adipose - Subcutaneous,1.0,0.989361702128,1.0,1.0,1.0,1.0,1.0
Artery - Coronary,Adipose - Visceral (Omentum),1.0,0.969348659004,0.973333333333,1.0,1.0,1.0,1.0
Artery - Coronary,Adrenal Gland,1.0,0.983425414365,0.994117647059,1.0,1.0,1.0,1.0
Artery - Coronary,Artery - Aorta,1.0,0.960784313725,0.986801242236,1.0,1.0,1.0,1.0
Artery - Tibial,Adipose - Subcutaneous,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Artery - Tibial,Adipose - Visceral (Omentum),1.0,1.0,1.0,1.0,1.0,1.0,1.0
Artery - Tibial,Adrenal Gland,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Artery - Tibial,Artery - Aorta,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Artery - Tibial,Artery - Coronary,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Brain - Amygdala,Adipose - Subcutaneous,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Brain - Amygdala,Artery - Aorta,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Brain - Amygdala,Artery - Tibial,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Brain - Anterior cingulate cortex (BA24),Adipose - Subcutaneous,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Brain - Anterior cingulate cortex (BA24),Adipose - Visceral (Omentum),1.0,1.0,1.0,1.0,1.0,1.0,1.0
Brain - Anterior cingulate cortex (BA24),Artery - Aorta,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Brain - Anterior cingulate cortex (BA24),Artery - Tibial,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Brain - Anterior cingulate cortex (BA24),Brain - Amygdala,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Brain - Caudate (basal ganglia),Adipose - Subcutaneous,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Brain - Caudate (basal ganglia),Adipose - Visceral (Omentum),1.0,1.0,1.0,1.0,1.0,1.0,1.0
Brain - Caudate (basal ganglia),Artery - Aorta,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Brain - Caudate (basal ganglia),Artery - Tibial,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Brain - Caudate (basal ganglia),Brain - Amygdala,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Brain - Caudate (basal ganglia),Brain - Anterior cingulate cortex (BA24),1.0,1.0,1.0,1.0,1.0,1.0,1.0
Brain - Cerebellar Hemisphere,Adipose - Subcutaneous,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Brain - Cerebellar Hemisphere,Adipose - Visceral (Omentum),1.0,1.0,1.0,1.0,1.0,1.0,1.0
Brain - Cerebellar Hemisphere,Artery - Aorta,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Brain - Cerebellar Hemisphere,Artery - Tibial,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Brain - Cerebellar Hemisphere,Brain - Amygdala,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Brain - Cerebellar Hemisphere,Brain - Anterior cingulate cortex (BA24),1.0,1.0,1.0,1.0,1.0,1.0,1.0
Brain - Cerebellar Hemisphere,Brain - Caudate (basal ganglia),1.0,1.0,1.0,1.0,1.0,1.0,1.0
Brain - Cerebellum,Adipose - Subcutaneous,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Brain - Cerebellum,Adipose - Visceral (Omentum),1.0,1.0,1.0,1.0,1.0,1.0,1.0
Brain - Cerebellum,Artery - Aorta,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Brain - Cerebellum,Artery - Tibial,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Brain - Cerebellum,Brain - Amygdala,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Brain - Cerebellum,Brain - Anterior cingulate cortex (BA24),1.0,1.0,1.0,1.0,1.0,1.0,1.0
Brain - Cerebellum,Brain - Caudate (basal ganglia),1.0,1.0,1.0,1.0,1.0,1.0,1.0
Brain - Cerebellum,Brain - Cerebellar Hemisphere,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Brain - Cortex,Adipose - Subcutaneous,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Brain - Cortex,Adipose - Visceral (Omentum),1.0,1.0,1.0,1.0,1.0,1.0,1.0
Brain - Cortex,Artery - Aorta,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Brain - Cortex,Artery - Tibial,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Brain - Cortex,Brain - Amygdala,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Brain - Cortex,Brain - Anterior cingulate cortex (BA24),1.0,1.0,1.0,1.0,1.0,1.0,1.0
Brain - Cortex,Brain - Caudate (basal ganglia),1.0,1.0,1.0,1.0,1.0,1.0,1.0
Brain - Cortex,Brain - Cerebellar Hemisphere,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Brain - Cortex,Brain - Cerebellum,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Brain - Frontal Cortex (BA9),Adipose - Subcutaneous,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Brain - Frontal Cortex (BA9),Adipose - Visceral (Omentum),1.0,1.0,1.0,1.0,1.0,1.0,1.0
Brain - Frontal Cortex (BA9),Artery - Aorta,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Brain - Frontal Cortex (BA9),Artery - Tibial,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Brain - Frontal Cortex (BA9),Brain - Amygdala,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Brain - Frontal Cortex (BA9),Brain - Anterior cingulate cortex (BA24),1.0,1.0,1.0,1.0,1.0,1.0,1.0
Brain - Frontal Cortex (BA9),Brain - Caudate (basal ganglia),1.0,1.0,1.0,1.0,1.0,1.0,1.0
Brain - Frontal Cortex (BA9),Brain - Cerebellar Hemisphere,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Brain - Frontal Cortex (BA9),Brain - Cerebellum,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Brain - Frontal Cortex (BA9),Brain - Cortex,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Brain - Hippocampus,Adipose - Subcutaneous,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Brain - Hippocampus,Artery - Aorta,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Brain - Hippocampus,Artery - Tibial,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Brain - Hippocampus,Brain - Amygdala,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Brain - Hippocampus,Brain - Anterior cingulate cortex (BA24),1.0,1.0,1.0,1.0,1.0,1.0,1.0
Brain - Hippocampus,Brain - Caudate (basal ganglia),1.0,1.0,1.0,1.0,1.0,1.0,1.0
Brain - Hippocampus,Brain - Cerebellar Hemisphere,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Brain - Hippocampus,Brain - Cerebellum,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Brain - Hippocampus,Brain - Cortex,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Brain - Hippocampus,Brain - Frontal Cortex (BA9),1.0,1.0,1.0,1.0,1.0,1.0,1.0
Brain - Hypothalamus,Adipose - Subcutaneous,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Brain - Hypothalamus,Artery - Tibial,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Brain - Hypothalamus,Brain - Amygdala,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Brain - Hypothalamus,Brain - Anterior cingulate cortex (BA24),1.0,1.0,1.0,1.0,1.0,1.0,1.0
Brain - Hypothalamus,Brain - Caudate (basal ganglia),1.0,1.0,1.0,1.0,1.0,1.0,1.0
Brain - Hypothalamus,Brain - Cerebellar Hemisphere,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Brain - Hypothalamus,Brain - Cerebellum,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Brain - Hypothalamus,Brain - Cortex,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Brain - Hypothalamus,Brain - Frontal Cortex (BA9),1.0,1.0,1.0,1.0,1.0,1.0,1.0
Brain - Hypothalamus,Brain - Hippocampus,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Brain - Nucleus accumbens (basal ganglia),Adipose - Subcutaneous,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Brain - Nucleus accumbens (basal ganglia),Adipose - Visceral (Omentum),1.0,1.0,1.0,1.0,1.0,1.0,1.0
Brain - Nucleus accumbens (basal ganglia),Artery - Aorta,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Brain - Nucleus accumbens (basal ganglia),Artery - Tibial,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Brain - Nucleus accumbens (basal ganglia),Brain - Amygdala,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Brain - Nucleus accumbens (basal ganglia),Brain - Anterior cingulate cortex (BA24),1.0,1.0,1.0,1.0,1.0,1.0,1.0
Brain - Nucleus accumbens (basal ganglia),Brain - Caudate (basal ganglia),1.0,1.0,1.0,1.0,1.0,1.0,1.0
Brain - Nucleus accumbens (basal ganglia),Brain - Cerebellar Hemisphere,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Brain - Nucleus accumbens (basal ganglia),Brain - Cerebellum,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Brain - Nucleus accumbens (basal ganglia),Brain - Cortex,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Brain - Nucleus accumbens (basal ganglia),Brain - Frontal Cortex (BA9),1.0,1.0,1.0,1.0,1.0,1.0,1.0
Brain - Nucleus accumbens (basal ganglia),Brain - Hippocampus,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Brain - Nucleus accumbens (basal ganglia),Brain - Hypothalamus,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Brain - Putamen (basal ganglia),Adipose - Subcutaneous,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Brain - Putamen (basal ganglia),Artery - Aorta,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Brain - Putamen (basal ganglia),Artery - Tibial,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Brain - Putamen (basal ganglia),Brain - Amygdala,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Brain - Putamen (basal ganglia),Brain - Anterior cingulate cortex (BA24),1.0,1.0,1.0,1.0,1.0,1.0,1.0
Brain - Putamen (basal ganglia),Brain - Caudate (basal ganglia),1.0,1.0,1.0,1.0,1.0,1.0,1.0
Brain - Putamen (basal ganglia),Brain - Cerebellar Hemisphere,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Brain - Putamen (basal ganglia),Brain - Cerebellum,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Brain - Putamen (basal ganglia),Brain - Cortex,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Brain - Putamen (basal ganglia),Brain - Frontal Cortex (BA9),1.0,1.0,1.0,1.0,1.0,1.0,1.0
Brain - Putamen (basal ganglia),Brain - Hippocampus,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Brain - Putamen (basal ganglia),Brain - Hypothalamus,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Brain - Putamen (basal ganglia),Brain - Nucleus accumbens (basal ganglia),1.0,1.0,1.0,1.0,1.0,1.0,1.0
Brain - Spinal cord (cervical c-1),Adipose - Subcutaneous,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Brain - Spinal cord (cervical c-1),Adipose - Visceral (Omentum),1.0,1.0,1.0,1.0,1.0,1.0,1.0
Brain - Spinal cord (cervical c-1),Artery - Tibial,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Brain - Spinal cord (cervical c-1),Brain - Amygdala,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Brain - Spinal cord (cervical c-1),Brain - Anterior cingulate cortex (BA24),1.0,1.0,1.0,1.0,1.0,1.0,1.0
Brain - Spinal cord (cervical c-1),Brain - Caudate (basal ganglia),1.0,1.0,1.0,1.0,1.0,1.0,1.0
Brain - Spinal cord (cervical c-1),Brain - Cerebellar Hemisphere,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Brain - Spinal cord (cervical c-1),Brain - Cerebellum,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Brain - Spinal cord (cervical c-1),Brain - Cortex,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Brain - Spinal cord (cervical c-1),Brain - Frontal Cortex (BA9),1.0,1.0,1.0,1.0,1.0,1.0,1.0
Brain - Spinal cord (cervical c-1),Brain - Hippocampus,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Brain - Spinal cord (cervical c-1),Brain - Hypothalamus,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Brain - Spinal cord (cervical c-1),Brain - Nucleus accumbens (basal ganglia),1.0,1.0,1.0,1.0,1.0,1.0,1.0
Brain - Spinal cord (cervical c-1),Brain - Putamen (basal ganglia),1.0,1.0,1.0,1.0,1.0,1.0,1.0
Brain - Substantia nigra,Adipose - Subcutaneous,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Brain - Substantia nigra,Artery - Aorta,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Brain - Substantia nigra,Artery - Tibial,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Brain - Substantia nigra,Brain - Amygdala,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Brain - Substantia nigra,Brain - Anterior cingulate cortex (BA24),1.0,1.0,1.0,1.0,1.0,1.0,1.0
