tool,1,2,4,8,16,32,64,128
imrep,0.88,0.88,0.85,0.84,0.82,0.67,0.56,0.34
mixcr,0.32,0.26,0.18,0.11,0.08,0.06,0.04,0.02
imseq,0.41,0.28,0.19,0.11,0.07,0.04,0.03,0.02
igblast,0.45,0.37,0.26,0.16,0.1,0.06,0.04,0.02
