tool,1,2,4,8,16,32,64,128
imrep,0.13,0.17,0.2,0.25,0.2,0.27,0.2,0.17
mixcr,0.01,0.01,0.01,0.01,0.01,0,0.02,0
imseq,0,0,0,0,0,0,0,0
igblast,0,0,0,0,0,0.01,0.01,0
