"tissue1_ID","tissue1_name","tissue1_nCDR3","tissue2_ID","tissue2_name","tissue2_nCDR3","edge_weight"
2,"Adrenal Gland",62,1,"Adipose - Visceral (Omentum)",158,0.018772973919
3,"Artery - Aorta",112,1,"Adipose - Visceral (Omentum)",158,0.033898305085
3,"Artery - Aorta",112,2,"Adrenal Gland",62,0.022129201243
4,"Artery - Coronary",171,2,"Adrenal Gland",62,0.016574585635
4,"Artery - Coronary",171,3,"Artery - Aorta",112,0.0392156862750001
4,"Artery - Coronary",171,1,"Adipose - Visceral (Omentum)",158,0.030651340996
5,"Breast - Mammary Tissue",695,4,"Artery - Coronary",171,0.021525512076
5,"Breast - Mammary Tissue",695,3,"Artery - Aorta",112,0.00996376137300004
5,"Breast - Mammary Tissue",695,1,"Adipose - Visceral (Omentum)",158,0.02421003446
6,"Cells - EBV-transformed lymphocytes",54,5,"Breast - Mammary Tissue",695,0.00738854875999995
6,"Cells - EBV-transformed lymphocytes",54,4,"Artery - Coronary",171,0.015189873418
6,"Cells - EBV-transformed lymphocytes",54,3,"Artery - Aorta",112,0.019609727963
6,"Cells - EBV-transformed lymphocytes",54,1,"Adipose - Visceral (Omentum)",158,0.0158730158730001
6,"Cells - EBV-transformed lymphocytes",54,2,"Adrenal Gland",62,0.016666666667
7,"Colon - Sigmoid",763,3,"Artery - Aorta",112,0.010971786834
7,"Colon - Sigmoid",763,5,"Breast - Mammary Tissue",695,0.00425796994100003
7,"Colon - Sigmoid",763,1,"Adipose - Visceral (Omentum)",158,0.00883384871500004
7,"Colon - Sigmoid",763,6,"Cells - EBV-transformed lymphocytes",54,0.00878153366300005
7,"Colon - Sigmoid",763,4,"Artery - Coronary",171,0.00773875787699996
8,"Colon - Transverse",3798,3,"Artery - Aorta",112,0.00804020540899997
8,"Colon - Transverse",3798,6,"Cells - EBV-transformed lymphocytes",54,0.00991726462800002
8,"Colon - Transverse",3798,1,"Adipose - Visceral (Omentum)",158,0.00844238075100001
8,"Colon - Transverse",3798,4,"Artery - Coronary",171,0.011242535229
8,"Colon - Transverse",3798,2,"Adrenal Gland",62,0.00445726516099998
8,"Colon - Transverse",3798,7,"Colon - Sigmoid",763,0.00494401628600005
8,"Colon - Transverse",3798,5,"Breast - Mammary Tissue",695,0.00963617724999999
9,"Esophagus - Gastroesophageal Junction",129,8,"Colon - Transverse",3798,0.002087138012
9,"Esophagus - Gastroesophageal Junction",129,1,"Adipose - Visceral (Omentum)",158,0.013114754098
9,"Esophagus - Gastroesophageal Junction",129,7,"Colon - Sigmoid",763,0.003801553836
9,"Esophagus - Gastroesophageal Junction",129,5,"Breast - Mammary Tissue",695,0.00174064403800001
10,"Esophagus - Mucosa",571,3,"Artery - Aorta",112,0.0158730158730001
10,"Esophagus - Mucosa",571,1,"Adipose - Visceral (Omentum)",158,0.02186418427
10,"Esophagus - Mucosa",571,7,"Colon - Sigmoid",763,0.017094017094
10,"Esophagus - Mucosa",571,6,"Cells - EBV-transformed lymphocytes",54,0.020788878985
10,"Esophagus - Mucosa",571,5,"Breast - Mammary Tissue",695,0.017357762777
