th,sens,ppv
0.05,0.010101010101,0.5
0.10,0.171717171717,0.708333333333
0.15,0.30303030303,0.75
0.20,0.333333333333,0.75
0.25,0.343434343434,0.772727272727
0.30,0.343434343434,0.723404255319
0.35,0.343434343434,0.708333333333
0.40,0.343434343434,0.566666666667
0.45,0.343434343434,0.523076923077
0.50,0.333333333333,0.733333333333
0.55,0.333333333333,0.452054794521
0.60,0.343434343434,0.354166666667
0.65,0.343434343434,0.333333333333
0.70,0.343434343434,0.303571428571
0.75,0.353535353535,0.289256198347
0.80,0.353535353535,0.289256198347
0.85,0.353535353535,0.289256198347
0.90,0.353535353535,0.289256198347
0.95,0.353535353535,0.289256198347
1.00,0.30303030303,0.37037037037
