x,cov,rl,sens,ppv,type
50,1,50,0.222222222,0.5,CAST
50,2,50,0.272727273,0.5,CAST
50,4,50,0.434343434,0.573333333,CAST
50,8,50,0.464646465,0.56097561,CAST
50,16,50,0.555555556,0.539215686,CAST
50,32,50,0.565656566,0.523364486,CAST
50,64,50,0.525252525,0.393939394,CAST
50,128,50,0.545454546,0.276923077,CAST
75,1,75,0.121212121,0.6,CAST
75,2,75,0.222222222,0.647058824,CAST
75,4,75,0.313131313,0.837837838,CAST
75,8,75,0.333333333,0.75,CAST
75,16,75,0.383838384,0.775510204,CAST
75,32,75,0.454545455,0.818181818,CAST
75,64,75,0.484848485,0.761904762,CAST
75,128,75,0.474747475,0.652777778,CAST
100,1,100,0.454545455,0.818181818,CAST
100,2,100,0.565656566,0.8,CAST
100,4,100,0.656565657,0.866666667,CAST
100,8,100,0.777777778,0.905882353,CAST
100,16,100,0.808080808,0.842105263,CAST
100,32,100,0.898989899,0.855769231,CAST
100,64,100,0.94949495,0.789915966,CAST
100,128,100,0.94949495,0.56626506,CAST
50,1,50,0.252525253,0.284090909,NOCAST
50,2,50,0.323232323,0.231884058,NOCAST
50,4,50,0.484848485,0.166089965,NOCAST
50,8,50,0.484848485,0.095049505,NOCAST
50,16,50,0.575757576,0.05418251,NOCAST
50,32,50,0.575757576,0.036703155,NOCAST
50,64,50,0.565656566,0.021671827,NOCAST
50,128,50,0.565656566,0.013806706,NOCAST
75,1,75,0.080808081,0.888888889,NOCAST
75,2,75,0.191919192,0.826086957,NOCAST
75,4,75,0.303030303,0.731707317,NOCAST
75,8,75,0.303030303,0.37037037,NOCAST
75,16,75,0.414141414,0.288732394,NOCAST
75,32,75,0.464646465,0.135693215,NOCAST
75,64,75,0.494949495,0.076802508,NOCAST
75,128,75,0.494949495,0.046270066,NOCAST
100,1,100,0.383838384,0.904761905,NOCAST
100,2,100,0.535353535,0.757142857,NOCAST
100,4,100,0.676767677,0.603603604,NOCAST
100,8,100,0.787878788,0.329113924,NOCAST
100,16,100,0.838383838,0.152854512,NOCAST
100,32,100,0.919191919,0.080602303,NOCAST
100,64,100,0.95959596,0.046545811,NOCAST
100,128,100,0.96969697,0.030056356,NOCAST
