tool,1,2,4,8,16,32,64,128
imrep,0.7,0.78,0.85,0.85,0.88,0.91,0.91,0.93
mixcr,0.8,0.93,0.95,0.96,0.98,0.97,0.97,0.97
imseq,0.57,0.7,0.74,0.77,0.84,0.9,0.94,0.95
igblast,0.42,0.51,0.53,0.6,0.63,0.66,0.64,0.65
