,Read Length,Coverage,rl,Recall,Precision,type,F1-Score
0,50,1,50,0.222222222,0.5,CAST,0.30769230747928994
1,50,2,50,0.272727273,0.5,CAST,0.3529411766989619
2,50,4,50,0.434343434,0.573333333,CAST,0.4942528732170035
3,50,8,50,0.464646465,0.56097561,CAST,0.5082872931293305
4,50,16,50,0.5555555560000001,0.539215686,CAST,0.5472636816662955
5,50,32,50,0.565656566,0.523364486,CAST,0.5436893205570742
6,50,64,50,0.525252525,0.393939394,CAST,0.4502164501632653
7,50,128,50,0.545454546,0.276923077,CAST,0.36734693896688886
8,75,1,75,0.12121212099999999,0.6,CAST,0.20168067197528422
9,75,2,75,0.222222222,0.647058824,CAST,0.33082706748442536
10,75,4,75,0.313131313,0.837837838,CAST,0.4558823528260165
11,75,8,75,0.333333333,0.75,CAST,0.4615384612189349
12,75,16,75,0.383838384,0.775510204,CAST,0.5135135136402483
13,75,32,75,0.454545455,0.818181818,CAST,0.584415584744898
14,75,64,75,0.484848485,0.761904762,CAST,0.5925925927345679
15,75,128,75,0.474747475,0.6527777779999999,CAST,0.5497076025872576
16,100,1,100,0.454545455,0.818181818,CAST,0.584415584744898
17,100,2,100,0.565656566,0.8,CAST,0.6627218937268303
18,100,4,100,0.656565657,0.8666666670000001,CAST,0.7471264371866825
19,100,8,100,0.7777777779999999,0.905882353,CAST,0.8369565218928993
20,100,16,100,0.8080808079999999,0.842105263,CAST,0.8247422679234244
21,100,32,100,0.898989899,0.8557692309999999,CAST,0.8768472907663374
22,100,64,100,0.94949495,0.7899159659999999,CAST,0.8623853210788653
23,100,128,100,0.94949495,0.56626506,CAST,0.7094339622160198
24,50,1,50,0.252525253,0.284090909,NOCAST,0.26737967937024215
25,50,2,50,0.323232323,0.231884058,NOCAST,0.2700421940314053
26,50,4,50,0.484848485,0.166089965,NOCAST,0.24742267999056758
27,50,8,50,0.484848485,0.095049505,NOCAST,0.15894039742834745
28,50,16,50,0.575757576,0.05418251,NOCAST,0.09904431012569587
29,50,32,50,0.575757576,0.036703155,NOCAST,0.06900726359990018
30,50,64,50,0.565656566,0.021671827,NOCAST,0.04174431675999727
31,50,128,50,0.565656566,0.013806706,NOCAST,0.02695547511329276
32,75,1,75,0.08080808099999999,0.8888888890000001,NOCAST,0.1481481484722222
33,75,2,75,0.191919192,0.826086957,NOCAST,0.31147540997648476
34,75,4,75,0.303030303,0.731707317,NOCAST,0.42857142852857144
35,75,8,75,0.303030303,0.37037037,NOCAST,0.333333333165
36,75,16,75,0.414141414,0.288732394,NOCAST,0.34024896235360963
37,75,32,75,0.464646465,0.135693215,NOCAST,0.21004566173015576
38,75,64,75,0.494949495,0.07680250799999999,NOCAST,0.13297150635197147
39,75,128,75,0.494949495,0.046270066,NOCAST,0.08462866995421353
40,100,1,100,0.383838384,0.904761905,NOCAST,0.5390070924001811
41,100,2,100,0.535353535,0.7571428570000001,NOCAST,0.6272189346195862
42,100,4,100,0.6767676770000001,0.603603604,NOCAST,0.63809523842
43,100,8,100,0.787878788,0.329113924,NOCAST,0.46428571425637755
44,100,16,100,0.8383838379999999,0.152854512,NOCAST,0.2585669782170495
45,100,32,100,0.9191919190000001,0.080602303,NOCAST,0.14820846918315048
46,100,64,100,0.95959596,0.046545811,NOCAST,0.08878504695442876
47,100,128,100,0.96969697,0.030056356,NOCAST,0.05830549713508294
