,Tissue Type,nCDR3_IGH,nReads_IGH
3021,Cells - EBV-transformed lymphocytes,10,450.43962485300005
3041,Cells - EBV-transformed lymphocytes,457,258.34282460099996
3077,Cells - EBV-transformed lymphocytes,8,230.076298302
3122,Cells - EBV-transformed lymphocytes,25,321.748942172
3208,Cells - EBV-transformed lymphocytes,18,702.8034839410001
3268,Cells - EBV-transformed lymphocytes,17,130.24090210100002
3292,Cells - EBV-transformed lymphocytes,163,407.44119059
3330,Cells - EBV-transformed lymphocytes,13,84.4066651655
3364,Cells - EBV-transformed lymphocytes,6,43.5549525102
3464,Cells - EBV-transformed lymphocytes,11,191.52460984400003
3497,Cells - EBV-transformed lymphocytes,126,76.5996343693
3653,Cells - EBV-transformed lymphocytes,6,109.835247129
3725,Cells - EBV-transformed lymphocytes,19,1821.39650873
3795,Cells - EBV-transformed lymphocytes,18,915.427329792
3802,Cells - EBV-transformed lymphocytes,31,168.449519231
3866,Cells - EBV-transformed lymphocytes,36,218.15929528400002
3871,Cells - EBV-transformed lymphocytes,30,167.564852028
3880,Cells - EBV-transformed lymphocytes,41,760.428994083
3934,Cells - EBV-transformed lymphocytes,116,152.15184286
3985,Cells - EBV-transformed lymphocytes,7,299.335695306
4045,Cells - EBV-transformed lymphocytes,134,164.572425829
4059,Cells - EBV-transformed lymphocytes,12,0.9788867562379999
4118,Cells - EBV-transformed lymphocytes,61,128.50707850700002
4120,Cells - EBV-transformed lymphocytes,37,95.9085963003
4146,Cells - EBV-transformed lymphocytes,8,420.1171875
4251,Cells - EBV-transformed lymphocytes,12,95.74351479719999
4283,Cells - EBV-transformed lymphocytes,27,713.484251969
4331,Cells - EBV-transformed lymphocytes,149,172.222222222
4354,Cells - EBV-transformed lymphocytes,38,287.02025586400003
4444,Cells - EBV-transformed lymphocytes,13,28.531211750300002
4469,Cells - EBV-transformed lymphocytes,79,92.397094431
4522,Cells - EBV-transformed lymphocytes,14,280.11709601900003
4581,Cells - EBV-transformed lymphocytes,49,295.217853348
4698,Cells - EBV-transformed lymphocytes,5,359.47598253300004
4777,Cells - EBV-transformed lymphocytes,19,68.119266055
4809,Cells - EBV-transformed lymphocytes,2,1.7647058823500001
4831,Cells - EBV-transformed lymphocytes,13,72.44289970210001
4933,Cells - EBV-transformed lymphocytes,92,115.963152985
4954,Cells - EBV-transformed lymphocytes,23,173.451327434
4970,Cells - EBV-transformed lymphocytes,68,166.40755136
4973,Cells - EBV-transformed lymphocytes,82,360.641989589
5012,Cells - EBV-transformed lymphocytes,2,47.754491018
5020,Cells - EBV-transformed lymphocytes,46,189.43710910400003
5043,Cells - EBV-transformed lymphocytes,41,301.274165202
5134,Cells - EBV-transformed lymphocytes,12,499.341455384
5146,Cells - EBV-transformed lymphocytes,10,1.5373864430500002
5162,Cells - EBV-transformed lymphocytes,186,241.67318982400002
5235,Cells - EBV-transformed lymphocytes,10,122.04169221299999
5262,Cells - EBV-transformed lymphocytes,66,184.54889249099998
5332,Cells - EBV-transformed lymphocytes,15,94.6078431373
5718,Cells - EBV-transformed lymphocytes,41,524.594594595
5756,Cells - EBV-transformed lymphocytes,83,539.9614726030001
5770,Cells - EBV-transformed lymphocytes,22,412.91144200599996
5773,Cells - EBV-transformed lymphocytes,52,155.493895671
5834,Cells - EBV-transformed lymphocytes,8,90.80313870299999
5896,Cells - EBV-transformed lymphocytes,27,89.5686900958
5905,Cells - EBV-transformed lymphocytes,65,68.4749849307
5915,Cells - EBV-transformed lymphocytes,5,118.149210904
5920,Cells - EBV-transformed lymphocytes,5,56.573705179300006
6030,Cells - EBV-transformed lymphocytes,8,44.396211523299996
6039,Cells - EBV-transformed lymphocytes,57,206.94687682400001
6076,Cells - EBV-transformed lymphocytes,172,147.672994489
75,Colon - Sigmoid,14,1.0954235637799998
118,Colon - Sigmoid,5874,875.7364341089999
200,Colon - Sigmoid,15,0.8668134287289999
203,Colon - Sigmoid,13,1.21668597914
351,Colon - Sigmoid,4,0.175798417814
562,Colon - Sigmoid,3,0.176539819537
629,Colon - Sigmoid,3,0.136695018226
731,Colon - Sigmoid,7,0.276561419682
774,Colon - Sigmoid,11,0.911640953717
822,Colon - Sigmoid,38,4.04263877715
848,Colon - Sigmoid,2804,296.76496478900003
875,Colon - Sigmoid,27,1.14583333333
878,Colon - Sigmoid,8,0.592300098717
1095,Colon - Sigmoid,5356,422.99368800699995
1107,Colon - Sigmoid,7,0.307107341328
1179,Colon - Sigmoid,0,0.0
1305,Colon - Sigmoid,6,0.495321959274
1328,Colon - Sigmoid,66,3.29362298528
1442,Colon - Sigmoid,9,1.03065539112
1460,Colon - Sigmoid,17,0.9719222462200001
1474,Colon - Sigmoid,2,0.106647707074
1488,Colon - Sigmoid,11,0.647820965842
1611,Colon - Sigmoid,128,7.51866334874
1629,Colon - Sigmoid,298,25.716928769699997
1716,Colon - Sigmoid,6,0.5128205128209999
1735,Colon - Sigmoid,5,0.367496937526
1783,Colon - Sigmoid,18,1.13095238095
1811,Colon - Sigmoid,58,2.85171102662
1839,Colon - Sigmoid,33,2.28523063902
1886,Colon - Sigmoid,12,0.922013061852
2030,Colon - Sigmoid,12,0.516351118761
2230,Colon - Sigmoid,5,0.292682926829
2253,Colon - Sigmoid,3,0.37917087967600005
2272,Colon - Sigmoid,28,1.78784266985
2274,Colon - Sigmoid,83,6.80345572354
2311,Colon - Sigmoid,1,0.061099796334
2540,Colon - Sigmoid,15,0.787523162446
2649,Colon - Sigmoid,3,0.146532074243
2707,Colon - Sigmoid,14,1.43661971831
2734,Colon - Sigmoid,1,0.215439856373
2788,Colon - Sigmoid,5,0.37128712871299996
2838,Colon - Sigmoid,3,0.20833333333299997
2900,Colon - Sigmoid,5,0.339494530366
2962,Colon - Sigmoid,246,13.6593591906
2964,Colon - Sigmoid,9,0.45902754165200005
3111,Colon - Sigmoid,5,0.364077669903
3171,Colon - Sigmoid,40,2.7619047619
3182,Colon - Sigmoid,4,0.1998001998
3230,Colon - Sigmoid,7,0.431565967941
3309,Colon - Sigmoid,5817,547.965023847
3324,Colon - Sigmoid,3,0.2937884723
3363,Colon - Sigmoid,1,0.05673222390319999
3383,Colon - Sigmoid,0,0.0
3470,Colon - Sigmoid,49,2.86654135338
3611,Colon - Sigmoid,413,19.5087915155
3618,Colon - Sigmoid,59,5.7971014492799995
3645,Colon - Sigmoid,5355,805.684707592
3675,Colon - Sigmoid,17,1.1097410604200002
3705,Colon - Sigmoid,528,33.7819420784
3712,Colon - Sigmoid,1405,107.966728281
3761,Colon - Sigmoid,37,3.0496453900700002
3989,Colon - Sigmoid,8,0.400355871886
4017,Colon - Sigmoid,5,0.266114725015
4032,Colon - Sigmoid,505,21.606741573
4033,Colon - Sigmoid,1,0.07270964614639999
4177,Colon - Sigmoid,19,1.7208413001900003
4224,Colon - Sigmoid,25,1.4246947082799999
4225,Colon - Sigmoid,36,2.28040540541
4242,Colon - Sigmoid,8,0.635593220339
4303,Colon - Sigmoid,4664,442.76852180099996
4327,Colon - Sigmoid,985,82.64642082430001
4415,Colon - Sigmoid,1,0.158061116965
4616,Colon - Sigmoid,2,0.181744749596
4666,Colon - Sigmoid,4,0.17921146953400002
4941,Colon - Sigmoid,1,0.04976775049769999
4955,Colon - Sigmoid,16,1.2210012209999999
5046,Colon - Sigmoid,7,0.339366515837
5223,Colon - Sigmoid,3,0.152957171992
5493,Colon - Sigmoid,19,1.19008264463
5500,Colon - Sigmoid,4,0.335356116257
5507,Colon - Sigmoid,11,1.07989464442
5550,Colon - Sigmoid,25,1.9472616632900002
5576,Colon - Sigmoid,28,2.18934911243
5628,Colon - Sigmoid,1,0.06555944055940001
5671,Colon - Sigmoid,26637,2141.93216855
5765,Colon - Sigmoid,10,0.6837866585629999
5794,Colon - Sigmoid,7,0.542584676093
5800,Colon - Sigmoid,2140,262.330456227
5811,Colon - Sigmoid,16,1.0731319554799998
5984,Colon - Sigmoid,7,0.38935756002599997
6048,Colon - Sigmoid,5,0.409612233752
6079,Colon - Sigmoid,11,0.6656101426309999
6087,Colon - Sigmoid,17,1.32536382536
2,Lung,637,29.723198594
15,Lung,1696,356.167157585
25,Lung,242,16.6937449228
89,Lung,285,11.0912662976
109,Lung,460,32.0994794679
115,Lung,642,53.8232528988
125,Lung,420,40.533449934400004
142,Lung,458,26.8887083672
150,Lung,531,98.6406117247
161,Lung,100,10.801838610799999
166,Lung,374,51.439964554700005
175,Lung,322,19.6103896104
246,Lung,201,58.6602671119
268,Lung,35,2.62796289935
333,Lung,675,48.5282522996
344,Lung,2463,311.768415742
378,Lung,582,29.2311946903
399,Lung,264,19.8342541436
414,Lung,1116,73.4355828221
465,Lung,239,13.497884344100001
490,Lung,28,2.62983790936
507,Lung,188,8.823529411760001
553,Lung,107,7.433155080210001
570,Lung,120,6.29604822505
591,Lung,820,45.2625226313
645,Lung,215,14.029322548
652,Lung,882,86.4201680672
798,Lung,712,100.40786948200001
803,Lung,155,17.56349548
840,Lung,69,6.593406593409999
852,Lung,374,29.673590504499998
870,Lung,759,138.495206336
881,Lung,1079,133.597560976
914,Lung,1300,97.1421280939
973,Lung,157,5.7196261682200005
1060,Lung,1568,110.552884615
1067,Lung,82,5.9141494435599995
1071,Lung,804,65.9243971323
1080,Lung,2113,146.325530757
1088,Lung,289,15.6776803776
1132,Lung,821,76.33828996279999
1141,Lung,25,1.65907612232
1165,Lung,273,15.317515701300001
1175,Lung,493,76.9329896907
1228,Lung,66,3.58532518066
1248,Lung,1347,161.163734777
1250,Lung,104,7.86686838124
1286,Lung,389,50.0502008032
1350,Lung,214,23.5590778098
1359,Lung,342,20.8902733119
1367,Lung,183,13.221153846199998
1368,Lung,276,24.6323529412
1403,Lung,193,11.7242274734
1406,Lung,327,37.1977240398
1407,Lung,276,21.4146658014
1425,Lung,91,9.929645027180001
1440,Lung,2028,187.881252542
1446,Lung,288,20.072182120999997
1447,Lung,366,32.3692551506
1456,Lung,416,37.1331348362
1517,Lung,1613,105.923735726
1522,Lung,660,55.461689587399995
1547,Lung,1188,135.764016123
1578,Lung,5766,447.501836885
1579,Lung,940,81.9740853659
1597,Lung,243,12.9145842799
1606,Lung,502,16.8147095399
1676,Lung,1479,68.1931515957
1708,Lung,58,6.870719178080001
1720,Lung,838,56.245638520600004
1751,Lung,827,59.421000981400006
1799,Lung,644,41.7953321364
1820,Lung,1041,59.6005606167
1826,Lung,203,33.5399107586
1855,Lung,395,17.6559660812
1859,Lung,811,89.91156239760001
1892,Lung,362,52.7695560254
1928,Lung,1447,128.086310577
1952,Lung,396,28.2455012853
1956,Lung,1068,61.6405168436
1986,Lung,36,3.1645569620300003
1997,Lung,417,19.5288753799
2003,Lung,201,4.5130217624
2009,Lung,214,37.427606177600005
2041,Lung,349,21.2587625724
2063,Lung,568,44.0818808269
2101,Lung,100,6.9592476489
2209,Lung,117,2.17415921187
2224,Lung,441,10.1477895273
2244,Lung,716,59.080962800900004
2295,Lung,879,107.12800369700001
2296,Lung,152,10.5661361858
2333,Lung,2645,276.57572906900003
2352,Lung,158,11.1994469409
2373,Lung,1207,173.525329632
2381,Lung,176,19.395017793599997
2408,Lung,272,34.7488038278
2421,Lung,249,9.422666885349999
2422,Lung,1376,91.5182029435
2467,Lung,231,9.707888752839999
2477,Lung,585,107.861350249
2479,Lung,193,8.15928391095
2515,Lung,206,9.59605720912
2608,Lung,1500,67.18719689619999
2657,Lung,89,4.85294117647
2661,Lung,1349,118.713572023
2711,Lung,889,50.376506024099996
2716,Lung,827,55.9270516717
2780,Lung,710,55.5688982288
2799,Lung,557,33.3479212254
2821,Lung,1526,137.666007347
2832,Lung,292,30.7766615147
2860,Lung,73,3.22697606962
2877,Lung,697,56.981637337399995
2880,Lung,57,2.92137533061
2890,Lung,972,92.9638854296
2992,Lung,835,70.6842923795
3025,Lung,487,24.6764758022
3037,Lung,938,93.4277530236
3101,Lung,1062,32.879085344699995
3105,Lung,106,7.9005934718100015
3148,Lung,993,108.058017728
3197,Lung,181,13.4513941221
3210,Lung,591,30.4465056083
3227,Lung,803,110.015923567
3256,Lung,666,123.420962786
3313,Lung,314,39.0522875817
3321,Lung,647,59.47217675939999
3375,Lung,94,10.262257696699999
3514,Lung,74,2.8559602649
3570,Lung,47,4.43714050945
3665,Lung,90,5.73300573301
3690,Lung,68,6.24742268041
3786,Lung,448,22.015182884699996
3803,Lung,83,3.0533533319
3852,Lung,80,10.4496516783
3884,Lung,2157,246.65879575
3961,Lung,516,35.9699624531
3967,Lung,222,24.7514910537
3999,Lung,255,25.2946509519
4004,Lung,432,23.4143049933
4073,Lung,2543,423.9375
4082,Lung,1527,116.05759922600001
4122,Lung,201,9.08694704729
4128,Lung,826,64.3330063757
4201,Lung,215,19.059860448
4222,Lung,152,20.0598802395
4248,Lung,165,7.9432723208
4268,Lung,272,55.530164533800004
4304,Lung,136,9.904153354630001
4347,Lung,33,1.1174512601
4484,Lung,2340,373.06243272300003
4497,Lung,504,41.740787801799996
4499,Lung,111,6.0726809053199995
4529,Lung,223,14.966740576500001
4530,Lung,713,197.949705483
4570,Lung,443,28.8218793829
4574,Lung,88,12.706502636199998
4586,Lung,1022,102.18031820899999
4595,Lung,902,58.8553259141
4612,Lung,103,9.33597002498
4617,Lung,3296,224.05845429599998
4648,Lung,684,60.783055198999996
4679,Lung,496,65.94693028100001
4725,Lung,884,114.12401574799999
4757,Lung,561,41.1098991001
4774,Lung,1260,54.9877921172
4795,Lung,65,5.49822064057
4837,Lung,192,19.340974212
