,Threshold,Recall,Precision,F1-Score
0,0.05,0.010101010100999999,0.5,0.01980198019800039
1,0.1,0.17171717171700002,0.708333333333,0.2764227642273944
2,0.15,0.30303030303,0.75,0.4316546762586854
3,0.2,0.33333333333299997,0.75,0.461538461538142
4,0.25,0.34343434343400003,0.7727272727269999,0.4755244755240947
5,0.3,0.34343434343400003,0.723404255319,0.4657534246571876
6,0.35,0.34343434343400003,0.708333333333,0.46258503401322276
7,0.4,0.34343434343400003,0.5666666666669999,0.4276729559746714
8,0.45,0.34343434343400003,0.523076923077,0.4146341463412373
9,0.5,0.33333333333299997,0.733333333333,0.4583333333329531
10,0.55,0.33333333333299997,0.452054794521,0.3837209302325001
11,0.6,0.34343434343400003,0.354166666667,0.3487179487179333
12,0.65,0.34343434343400003,0.33333333333299997,0.3383084577111045
13,0.7,0.34343434343400003,0.303571428571,0.322274881516195
14,0.75,0.353535353535,0.289256198347,0.31818181818161
15,0.8,0.353535353535,0.289256198347,0.31818181818161
16,0.85,0.353535353535,0.289256198347,0.31818181818161
17,0.9,0.353535353535,0.289256198347,0.31818181818161
18,0.95,0.353535353535,0.289256198347,0.31818181818161
19,1.0,0.30303030303,0.37037037037,0.33333333333299997
