tool,1,2,4,8,16,32,64,128
imrep,0.54,0.64,0.64,0.62,0.61,0.64,0.64,0.61
mixcr,0.4,0.49,0.53,0.58,0.68,0.73,0.75,0.84
imseq,0.13,0.14,0.21,0.21,0.25,0.26,0.31,0.33
igblast,0.01,0.01,0.03,0.02,0.03,0.03,0.03,0.03
